OBJECTID;PEID;PGID;Name;NmDisp;NmAlt;ISOalpha3;Ctry;Regn;RegnSub;ROG;AffCd;Aff;PeopleDesc;LocationDesc;Pop;PopCls;EvngLvl;CongExst;Plnting;EngStat;GSEC;GSECbrf;GSEClng;SPI;SPIdesc;LPI;LPIname;LPIdesc;ROL;Lang;LangFamily;LangClass;LangSpkrs;ROR;Rlgn;RlgnAdher;RORdesc;RlgnBs;ROR4;ROR3;RlgnDiv;ROP3;PplNm;ROP25;Ethne;ROP2;PplClstr;ROP1;Affbloc;Bible;Jesus;Radio;Gospel;Audio;Stories;ResTot;LvlBible;YrPub;PicCrdt;PicURL;Photo;Indigenous;Latitude;Longitude;PeopleSearch;UpdatedDate
354;15215;PG015215;Birwa;Birwa;Bibirwa;BWA;Botswana;Africa;Southern Africa;BC;AG300;Sub-Saharan African Peoples;a Sotho-Tswana Bantu tribe indigenous to Botswana;None;21000;10,000 - 24,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;brl;Birwa;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, S, Sotho-Tswana (S.32);100;EAN;Ethnoreligion - Animism;71;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;101485;Birwa;301256;Birwa;C0273;Bantu, Sotho-Tswana;A013;Sub-Saharan African Peoples;Not Available;Not Available;Not Available;Available;Not Available;Not Available;1;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Birwa;https://images.peoplegroups.org/imbpeople-featured-images/PG015215.jpg;Y;Indigenous;-22.12034;28.34484;Birwa of Botswana (PG015215);2025-12-10T20:07:35.417+00:00
355;20929;PG020929;Mon;Mon;Muong;LAO;Laos;Asia;South-Eastern Asia;LA;AG650;Asian Pacific Rim Peoples;an indigenous community of Laos;None;400;less than 10,000;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;tou;Tho;Austroasiatic;Austro-Asiatic, Mon-Khmer, Viet-Muong, Cuoi;100;EAN;Ethnoreligion - Animism;100;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;106916;Muong;305714;Muong;C0147;Mon-Khmer;A011;Southeast Asian Peoples;Not Available;Not Available;Not Available;Available;Not Available;Not Available;1;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://images.peoplegroups.org/imbpeople-featured-images/NoImageAvailable_search.jpg;N;Indigenous;19.154769;103.704206;Mon of Laos (PG020929);2026-01-30T16:14:19.856+00:00
356;24162;PG024162;Hulaula;Hulaula;Iranian Jews, Hulaula Jews, Lishana Noshan;IRN;Iran;Asia;Southern Asia;IR;AG200;Northern African and Middle Eastern Peoples;a community of ethnic Kurds with historic roots in Kurdistan, most of whom evacuated to Israel in the early 1950s to escape Muslim persecution in Iran, Iraq, and Turkey;None;375;less than 10,000;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;ckb;Kurdish, Central;Indo-European;Indo-European, Indo-Iranian, Iranian, Western, Northwestern, Kurdish;100;J;Judaism;95;Judaism, a religion developed among the ancient Hebrews and characterized by belief in one transcendent God who has revealed himself to Abraham, Moses, and the Hebrew prophets and by a religious life in accordance with Scriptures and rabbinic traditions.;Judaism;;J;;103906;Jew, Kurdish;303368;Jewish;C0102;Jews;A006;Jewish Peoples;Available;Available;Not Available;Available;Available;Available;5;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Hulaula;https://images.peoplegroups.org/imbpeople-featured-images/PG024162.jpg;Y;Diaspora;36.247248;46.27321;Hulaula of Iran (PG024162);2025-12-17T12:23:00.116+00:00
357;43315;PG043315;Kutenai;Kutenai;Kootenai;USA;United States;Americas;Northern America;US;AG800;American Peoples;an indigenous community of United States;None;225;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;0;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;105491;Kutenai;304450;Kutenai;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Available;6;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;47.33691;-114.33411;Kutenai of the United States (PG043315);2025-05-19T03:04:51.463+00:00
358;24013;PG024013;Sau;Sau;Sawi;AFG;Afghanistan;Asia;Southern Asia;AF;AG500;South Asian Peoples;an ethnolinguistic community of Afghanistan;Kunar province: Sau village on Konar river;9000;less than 10,000;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;sdg;Savi;Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Northwestern, Dardic, Shina;100;MSN;Islam - Sunni;100;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;108746;Sau;307296;Sau;C0107;Kashmiri;A012;South Asian Peoples;Not Available;Not Available;Not Available;Available;Not Available;Not Available;1;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;35.170868;71.455997;Sau of Afghanistan (PG024013);2025-05-19T03:02:38.766+00:00
359;50460;PG050460;Ottawa;Ottawa;Little River Band of Ottawa Indians, Grand Traverse Band of Ottawa and Chippewa Indians, Little Traverse Bay Bands of Odawa Indians;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized Native American tribe based in the US state of Michigan;Michigan: Manistee and Mason counties;4800;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;57;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;114919;Ottawa;306383;Ottawa;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Sgt. James Garvin - DIVDS Licensed under <a href=""https://creativecommons.org/publicdomain/zero/1.0/"">CC0 1.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p18983.jpg;Y;Indigenous;44.2661947336;-86.2738252766;Ottawa of the United States (PG050460);2024-07-08T19:55:51.134+00:00
360;50464;PG050464;Peoria;Peoria;Peouaroua, Peewaalia;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized Native American tribe known as the Peoria Tribe of Indians of Oklahoma. They are descendants of the Illinois Confederation, which included the Peoria, Kaskaskia, Piankashaw, and Wea tribes;Ottawa County: Miami area;1200;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;ENA;Ethnoreligion - Native American religions;40;Native American religions, an umbrella term that encompasses widely varied spiritual practices unique to the culture and location of individual nations.;Ethnoreligion;ENA;E;Native American religions;119478;Peoria;309391;Peoria;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Peoria;https://images.peoplegroups.org/imbpeople-featured-images/PG050464.jpg;Y;Indigenous;36.8680837985;-94.870388233;Peoria of the United States (PG050464);2025-10-31T14:26:39.06+00:00
361;50465;PG050465;Yuki;Yuki;Round Valley Indians, Yukiah, Ukomno'om, Huchnom, Ukohtontilka;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized Native American tribe based in the U.S. state of California;California: northern Mendocino County;1200;less than 10,000;Less than 2%;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;70;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;111117;Yuki;309061;Yuki;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;Photo by OpenAI. (2025). Image generated by ChatGPT: Yuki;https://images.peoplegroups.org/imbpeople-featured-images/PG050465.jpg;Y;Indigenous;39.8106490643;-123.254677767;Yuki of the United States (PG050465);2025-10-31T14:26:12.231+00:00
362;50466;PG050466;Ponca;Ponca;Ponca Tribe;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized Native American tribe based in the U.S. states of Nebraksa and Oklahoma;Nebraska: Macy and Walthill (Omaha language variety);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;50472;PG050472;Paraguayan;Paraguayans;Paraguayan Guarani, Guaraní;USA;United States;Americas;Northern America;US;AG800;American Peoples;a group of culturally-related Amerindians indigenous to Paraguay;isolated communities reported in New York, Los Angeles, Miami, and Washington D.C.;25500;25,000 - 49,999;2% or Greater but Less than 5%;No;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;gug;Guaraní, Paraguayan;Tupian;Tupian, Tupí-Guaraní, Guaraní, Guaraní;100;CRC;Christianity - Roman Catholicism;90;Roman Catholicism, the largest branch of the Christian church and one of the oldest religious institutions in the world. Roman Catholicism teaches that it is the one true Church founded by Jesus Christ and that its bishops are the successors of Christ.;Christianity;CRC;C;Roman Catholicism;107877;Paraguayan Guarani;306550;Paraguayan;C0083;Guarani;A007;Latin American and Caribbean Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://images.peoplegroups.org/imbpeople-featured-images/NoImageAvailable_search.jpg;N;Diaspora;38.8840011319;-76.9807841775;Paraguayans of the United States (PG050472);2024-08-06T17:13:12.724+00:00
364;50490;PG050490;Scottish Gaelic;Gaelic Scots;Canadian Gaelic, Cape Breton Gaelic, Gàidhlig Chanada;CAN;Canada;Americas;Northern America;CA;AG100;European Peoples;an Anglo-Celt ethnolinguistic group indigenous to Scotland;Nova Scotia: Cape Breton Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;43678;PG043678;Washo;Washo;Wa She Shu, Waší:šiw;USA;United States;Americas;Northern America;US;AG800;American Peoples;a Native American tribe indigenous to the Great Basin region, primarily around Lake Tahoe, which straddles the border of California and Nevada;;1500;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;110711;Washoe;308749;Washo;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Available;6;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Washo;https://images.peoplegroups.org/imbpeople-featured-images/PG043678.jpg;Y;Indigenous;38.81841;-119.6403;Washo of the United States (PG043678);2025-11-05T20:44:59.364+00:00
366;43237;PG043237;Fall Indian, Atsina;Atsina;Gros Ventre, A'aninin, White Clay;USA;United States;Americas;Northern America;US;AG800;American Peoples;a Native American tribe historically located in the northern Great Plains, particularly in Montana;Montana: Fort Belknap reservation, Milk river;1200;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;25;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;102993;Atsina;302394;Atsina;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Available;6;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Atsina;https://images.peoplegroups.org/imbpeople-featured-images/PG043237.jpg;Y;Indigenous;48.48341;-108.73841;Atsina of the United States (PG043237);2025-11-03T16:50:45.626+00:00
367;12097;PG012097;Bug, Mangaya;Mangaya Bug;Bug;SSD;South Sudan;Africa;Northern Africa;OD;AG300;Sub-Saharan African Peoples;an indigenous community of South Sudan;Western Bahr al Ghazal: Zakka, 30 km southeast of Raga on road to Sopo;850;less than 10,000;No Known Evangelicals;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;krs;Gbaya;Kresh-Aja;Nilo-Saharan, Satellite-Core, Satellites, Central Sudanic, West, Kresh;100;MSN;Islam - Sunni;70;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;106248;Mangaya;305120;Mangaya;C0003;Adamawa-Ubangi;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;8.195927;25.862917;Mangaya Bug of South Sudan (PG012097);2025-05-19T03:03:16.746+00:00
368;43204;PG043204;Klallam;Klallam;S'Klallam, nəxʷsƛ̕áy̕əm̕;USA;United States;Americas;Northern America;US;AG800;American Peoples;a Coast Salish Indigenous group native to the northern Olympic Peninsula in Washington State and parts of southern Vancouver Island in British Columbia;;1200;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;ENA;Ethnoreligion - Native American religions;45;Native American religions, an umbrella term that encompasses widely varied spiritual practices unique to the culture and location of individual nations.;Ethnoreligion;ENA;E;Native American religions;102238;Klallam;301810;Klallam;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Available;6;None;None;Photo by OpenAI. (2025). Image generated by ChatGPT: Klallam;https://images.peoplegroups.org/imbpeople-featured-images/PG043204.jpg;Y;Indigenous;48.146477119;-123.552718535;Klallam of the United States (PG043204);2025-11-03T11:52:17.331+00:00
369;10894;PG010894;Tonga;Tonga;Tonga-Mos;THA;Thailand;Asia;South-Eastern Asia;TH;AG650;Asian Pacific Rim Peoples;an ethnolinguistic community of Thailand;Phatthalung, Trang, Satun, and Songkhla provinces;200;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;tnz;Ten’edn;Austroasiatic;Austro-Asiatic, Mon-Khmer, Aslian, North Aslian, Tonga;100;EAN;Ethnoreligion - Animism;95;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;114836;Tonga;309184;Tonga (Thailand);C0147;Mon-Khmer;A011;Southeast Asian Peoples;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;0;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: P’ Nok";https://joshuaproject.net/assets/media/profiles/photos/p18889.jpg;Y;Indigenous;5.963;101.1541;Tonga of Thailand (PG010894);2025-05-19T03:04:31.19+00:00
370;43206;PG043206;Coeur d'Alene;Coeur d'Alene;Schitsu’umsh;USA;United States;Americas;Northern America;US;AG800;American Peoples;a Salish-speaking Native American tribe indigenous to the inland Pacific Northwest, particularly northern Idaho, eastern Washington, and western Montana;;7600;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CRC;Christianity - Roman Catholicism;48;Roman Catholicism, the largest branch of the Christian church and one of the oldest religious institutions in the world. Roman Catholicism teaches that it is the one true Church founded by Jesus Christ and that its bishops are the successors of Christ.;Christianity;CRC;C;Roman Catholicism;102253;Coeur d'Alene;301814;Coeur d'Alene;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Available;6;None;None;Photo by OpenAI. (2025). Image generated by ChatGPT: Coeur d'Alene;https://images.peoplegroups.org/imbpeople-featured-images/PG043206.jpg;Y;Indigenous;47.29583;-116.71512;Coeur d'Alene of the United States (PG043206);2025-11-03T17:40:46.431+00:00
371;50493;PG050493;Basque;Basque;Basque Canadian;CAN;Canada;Americas;Northern America;CA;AG100;European Peoples;citizens and permanent residents of Canada who trace their ethnic identity to the Basque region in the western Pyrenees, straddling the border between France and Spain;;7400;less than 10,000;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;eus;Basque;;Language isolate;60;N;Unaffiliated;50;unaffiliated, a category that includes atheists, agnostics, and others who do not identify with a particular world religion.;Unaffiliated;;N;;101106;Basque;300937;Basque;C0038;Basque;A003;Eurasian Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://images.peoplegroups.org/imbpeople-featured-images/NoImageAvailable_search.jpg;N;Diaspora;45.5596927344;-73.6123636898;Basque of Canada (PG050493);2024-11-13T18:29:23.675+00:00
372;7276;PG007276;Mang;Mang;莽人, Mángrén, Mang Ren;CHN;China;Asia;Eastern Asia;CH;AG650;Asian Pacific Rim Peoples;an indigenous community of China;None;550;less than 10,000;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;zng;Mang;Austroasiatic;Austro-Asiatic, Mon-Khmer, Northern Mon-Khmer, Mang;70;EAN;Ethnoreligion - Animism;100;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;106238;Mang;305113;Mang;C0147;Mon-Khmer;A011;Southeast Asian Peoples;Not Available;Not Available;Not Available;Available;Not Available;Not Available;1;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 <a href=""https://www.asiaharvest.org"">Asia Harvest</a> Used with permission";https://joshuaproject.net/assets/media/profiles/photos/p13495.jpg;Y;Indigenous;22.54006;102.9422;Mang of China (PG007276);2026-01-09T13:29:20.267+00:00
373;10893;PG010893;Moklen;Moklen;Moken;THA;Thailand;Asia;South-Eastern Asia;TH;AG650;Asian Pacific Rim Peoples;an ethnolinguistic community of Thailand;Phangnga and Phuket provinces: west coast;2100;less than 10,000;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;mkm;Moklen;Austronesian;Austronesian, Malayo-Polynesian, Moklen;72;EAN;Ethnoreligion - Animism;78;animism, a religious worldview that natural physical entities--including animals, plants, and even inanimate objects--possess a spiritual essence.;Ethnoreligion;EAN;E;Animism;106726;Moklen;305556;Moklen;C0123;Malay;A008;Malay Peoples;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;0;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: manothegreek";https://joshuaproject.net/assets/media/profiles/photos/p13772.jpg;Y;Indigenous;8.16761;98.31762;Moklen of Thailand (PG010893);2025-05-19T03:03:50.21+00:00
374;50451;PG050451;Fijian;Fijians;Fijian Australians, Indo-Fijians;AUS;Australia;Oceania;Australia and New Zealand;AS;AG650;Asian Pacific Rim Peoples;a diaspora community of Fijians in Australia;;71500;50,000 - 99,999;10% or Greater but Less than 15%;Yes;Concentrated Church Planting;Engaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;61;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;103015;Fijian;302415;Fijian;C0069;Fiji;A010;Pacific Islander Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 <a href=""https://www.createinternational.com"">Create International</a> Used with permission";https://joshuaproject.net/assets/media/profiles/photos/p11200.jpg;Y;Diaspora;-33.9060659176;151.185959035;Fijians of Australia (PG050451);2024-08-13T20:37:42.227+00:00
375;50455;PG050455;Ho-Chunk;Ho-Chunk;Hoocąk, Hocąk, Hoocągra;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized tribe of the Ho-Chunk with traditional territory across five states in the United States: Wisconsin, Illinois, Iowa, Minnesota, and Missouri.;Wisconsin: Ho-Chunk Nation reservation, also in Illinois, Iowa, Minnesota, and Missouri;5400;less than 10,000;2% or Greater but Less than 5%;Yes;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;ENA;Ethnoreligion - Native American religions;0;Native American religions, an umbrella term that encompasses widely varied spiritual practices unique to the culture and location of individual nations.;Ethnoreligion;ENA;E;Native American religions;119472;Ho-Chunk;309385;Ho-Chunk;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Ho-Chunk;https://images.peoplegroups.org/imbpeople-featured-images/PG050455.jpg;Y;Indigenous;43.377658228;-89.7570645905;Ho-Chunk of the United States (PG050455);2025-10-31T14:27:24.407+00:00
376;50456;PG050456;Seminole;Seminole;Seminole Nation of Oklahoma;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized Native American tribe based in the U. S. state of Oklahoma;Oklahoma: Seminole County;3600;less than 10,000;5% or Greater but Less than 10%;Yes;Concentrated Church Planting;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;55;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;119473;Seminole;309386;Seminole;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://images.peoplegroups.org/imbpeople-featured-images/NoImageAvailable_search.jpg;N;Indigenous;35.2172321973;-96.6652912385;Seminole of the United States (PG050456);2024-06-26T16:33:46.741+00:00
377;50459;PG050459;Chickahominy;Chickahominy;Chickahominy Indians-Eastern Division;USA;United States;Americas;Northern America;US;AG800;American Peoples;a state and federally recognized Native American tribe based in the U.S. state of Virginia;Virginia: Charles City and New Kent counties;1700;less than 10,000;5% or Greater but Less than 10%;Yes;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;50;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;119476;Chickahominy;309389;Chickahominy;C0154;North American Indigenous;A009;North American Peoples;Available;Available;Available;Available;Available;Not Available;5;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://images.peoplegroups.org/imbpeople-featured-images/NoImageAvailable_search.jpg;N;Indigenous;37.4395628059;-77.0360691528;Chickahominy of the United States (PG050459);2024-07-08T19:53:58.225+00:00
378;50461;PG050461;Ute;Utes;Weeminuche, Weminuche, Southern Ute;USA;United States;Americas;Northern America;US;AG800;American Peoples;a federally recognized Native American tribe based in the US states of Colorado, New Mexico, and Utah;Utah: Ute Mountain Ute Indian Reservation, Uintah & Ouray Reservation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
