PeopNameInCountry;Ctry;ISO2;Population;Latitude;Longitude;PrimaryLanguageName;PrimaryReligion;Region;PercentChristianity;JPScale
Kurmanji Kurds;Azerbaijan;AJ;6400;39.82338;46.20434;Kurdish, Northern;Islam;Western Asia;0;
Kadazan Dusun;Malaysia;MY;262000;5.952622;116.670328;Kadazan Dusun;Christianity;South-Eastern Asia;75;
Ou Khmu;Laos;LA;813000;19.229103;102.240009;Khmu;Ethnoreligion;South-Eastern Asia;75;
Batu Punan;Malaysia;MY;125;4.026;114.383;Punan Batu;Ethnoreligion;South-Eastern Asia;75;
Deaf Ugandans;Uganda;UG;403000;0.296518;32.586956;Ugandan Sign Language;Christianity;Eastern Africa;10;
Kyrgyz;United States;US;30000;41.8623437695;-87.7263075114;Kyrgyz;Islam;Northern America;0;
Deaf Mexicans;Mexico;MX;1295000;19.352515;-99.18247;Mexican Sign Language;Christianity;Central America;10;
Deaf Sierra Leoneans;Sierra Leone;SL;88500;8.484208;-13.228579;Sierra Leone Sign Language;Ethnoreligion;Western Africa;10;
Deaf Indonesians;Indonesia;ID;2655000;-6.216039;106.899858;Indonesian Sign Language;Ethnoreligion;South-Eastern Asia;10;
Chamorros;Guam;GQ;92500;13.4402;144.77622;Chamorro;Christianity;Micronesia;75;
Bretons;United States;US;400;40.794724;-73.943277;French;Christianity;Northern America;0;
Deaf Taiwanese;Taiwan;TW;26000;25.02062;121.30519;Taiwan Sign Language;Ethnoreligion;Eastern Asia;10;
Deaf Americans;United States;US;3370000;40.62029;-73.954981;American Sign Language;Ethnoreligion;Northern America;75;
Tring;Malaysia;MY;900;3.976537;114.650837;Tring;Ethnoreligion;South-Eastern Asia;75;
Deaf Rwandans;Rwanda;RW;71000;-1.97504;30.082955;Rwandan Sign Language;Ethnoreligion;Eastern Africa;10;
Deaf Brazilians;Brazil;BR;2195000;-23.527175;-46.752376;Brazilian Sign Language;Christianity;South America;10;
Deaf Belgians;Belgium;BE;120000;50.848346;4.356646;French Belgian Sign Language;Christianity;Western Europe;10;
Deaf Jordanians;Jordan;JO;115000;31.952902;35.838557;Jordanian Sign Language;Islam;Western Asia;10;
Deaf Hungarians;Hungary;HU;97500;47.513831;19.142947;Hungarian Sign Language;Christianity;Eastern Europe;10;
Deaf Romanians;Romania;RO;196000;44.485178;26.023725;Romanian Sign Language;Christianity;Eastern Europe;10;
Deaf Uruguayans;Uruguay;UY;34500;-34.835;-56.262;Uruguayan Sign Language;Unaffiliated;South America;10;
Deaf French;France;FR;650000;48.842798;2.240265;French Sign Language;Christianity;Western Europe;10;
Deaf Peruvians;Peru;PE;322000;-12.040617;-77.052104;Peruvian Sign Language;Christianity;South America;10;
Deaf Finns;Finland;FI;55000;60.66099;25.06767;Finnish Sign Language;Christianity;Northern Europe;10;
Deaf Colombians;Colombia;CO;472000;4.7131;-74.0451;Colombian Sign Language;Christianity;South America;10;
Deaf Kenyans;Kenya;KE;234000;-1.244036;36.883195;Kenyan Sign Language;Ethnoreligion;Eastern Africa;10;
Deaf Dutch;Netherlands;NL;176000;52.374965;4.844705;Sign Language of the Netherlands;Unaffiliated;Western Europe;10;
Deaf Ethiopians;Ethiopia;ET;1325000;8.997561;38.756606;Ethiopian Sign Language;Christianity;Eastern Africa;10;
Deaf Ghanaians;Ghana;GH;284000;5.55225;-0.30274;Ghanaian Sign Language;Ethnoreligion;Western Africa;10;
Deaf Venezuelans;Venezuela;VE;297000;10.481128;-66.852763;Venezuelan Sign Language;Christianity;South America;10;
Saek;Thailand;TH;3600;17.4293;104.7458;Thai, Northeastern;Ethnoreligion;South-Eastern Asia;0;
Biatah;Malaysia;MY;90500;1.24835;110.33729;Bidayuh, Biatah;Christianity;South-Eastern Asia;75;
Berawan;Malaysia;MY;1400;3.9844;114.6309;Berawan, West;Ethnoreligion;South-Eastern Asia;75;
Bom;Papua New Guinea;PP;4100;-5.461;145.732;Anjam;Christianity;Melanesia;75;
Aari;Ethiopia;ET;467000;5.95034;36.57211;Aari;Christianity;Eastern Africa;75;
Anggor;Papua New Guinea;PP;3800;-3.7167;141.19901;Angor;Christianity;Melanesia;75;
Abaga;Papua New Guinea;PP;1200;-6.12028;145.66459;Wagama;Christianity;Melanesia;75;
Naki;Cameroon;CM;8800;6.62784;10.23776;Naki;Christianity;Middle Africa;75;
Kpagua;Congo, Democratic Republic of the;CG;10500;4.925631;20.05437;Kpagua;Christianity;Middle Africa;75;
Baram Kayan;Malaysia;MY;10000;3.51211;114.48171;Kayan, Baram;Christianity;South-Eastern Asia;75;
Afitti;Sudan;SU;5600;12.44598;30.76112;Afitti;Islam;Northern Africa;0;
Luhya;Kenya;KE;7385000;0.566703;34.556892;Bukusu;Christianity;Eastern Africa;75;
Wuzlam;Cameroon;CM;35000;10.95502;14.13782;Wuzlam;Islam;Middle Africa;75;
Mono;Cameroon;CM;3700;8.757;14.17;Fulfulde, Adamawa;Christianity;Middle Africa;75;
Kinuku;Nigeria;NI;3100;10.1855;8.331;Kinuku;Ethnoreligion;Western Africa;75;
Homa;South Sudan;OD;4900;5.587845;27.47894;Arabic, Sudanese;Islam;Northern Africa;10;
Lwena;Congo, Democratic Republic of the;CG;270000;-10.65382;22.793632;Luvale;Christianity;Middle Africa;10;
Asho Chin;Myanmar;BM;32000;20.53349;94.66312;Chin, Asho;Buddhism;South-Eastern Asia;75;
So;Laos;LA;179000;17.01621;105.42704;So (Laos);Ethnoreligion;South-Eastern Asia;10;
Indo-Fijians;Fiji;FJ;194000;-17.81477;177.77228;Fiji Hindi;Hinduism;Melanesia;75;
Hyam;Nigeria;NI;396000;9.4534;8.0061;Hyam;Christianity;Western Africa;75;
Riang;Myanmar;BM;57500;23.2563;98.7871;Riang Lang;Buddhism;South-Eastern Asia;75;
Bagando;Cameroon;CM;6100;2.23863;15.32044;Bangandu;Christianity;Middle Africa;10;
Abau;Papua New Guinea;PP;16000;-3.97222;141.32359;Abau;Christianity;Melanesia;75;
Nfumte;Cameroon;CM;76500;6.63304;10.99428;Mfumte;Ethnoreligion;Middle Africa;10;
Greenlandic Inuits;Greenland;GL;45000;64.175113;-51.737163;Greenlandic;Christianity;Northern America;75;
Chagga;Tanzania;TZ;1170000;-3.380099;37.46541;Swahili;Christianity;Eastern Africa;75;
Jah Hut;Malaysia;MY;5300;3.67619;102.2913;Jah Hut;Ethnoreligion;South-Eastern Asia;75;
Bare;Brazil;BR;7400;1.5618;-67.2051;Nhengatu;Ethnoreligion;South America;10;
Arapaso;Brazil;BR;475;0.144932;-67.743496;Tucano;Ethnoreligion;South America;0;
Korubo;Brazil;BR;500;-5.333333;-70.5;Korubo;Ethnoreligion;South America;0;
Txikao;Brazil;BR;450;-11.416667;-53.500001;Ikpeng;Ethnoreligion;South America;0;
Tariano;Brazil;BR;2800;0.210069;-68.564255;Portuguese;Ethnoreligion;South America;0;
Nahukwa;Brazil;BR;175;-11.96138;-53.47451;Kuikúro-Kalapálo;Ethnoreligion;South America;0;
Paresi;Brazil;BR;2100;-14.3022820213;-58.668390898;Parecís;Ethnoreligion;South America;75;
Kamayura;Brazil;BR;750;-11.8708;-52.9692;Kamayurá;Ethnoreligion;South America;10;
Kanoe;Brazil;BR;325;-11.696934;-62.712223;Portuguese;Ethnoreligion;South America;75;
Yawanawa;Brazil;BR;850;-8.174;-71.647;Yawanawa;Ethnoreligion;South America;0;
Matipu;Brazil;BR;200;-12.059655;-53.346075;Kuikúro-Kalapálo;Ethnoreligion;South America;0;
Irantxe;Brazil;BR;475;-12.8052;-57.9879;Portuguese;Ethnoreligion;South America;0;
Yawalapiti;Brazil;BR;325;-12.543501;-53.383344;Kamayurá;Ethnoreligion;South America;0;
Sabanes;Brazil;BR;150;-12.349;-58.9285;Portuguese;Ethnoreligion;South America;0;
Asurini of the Xingu;Brazil;BR;200;-4.166667;-52.416667;Asurini of Xingú;Ethnoreligion;South America;0;
Tupari;Brazil;BR;175;-12.0132;-62.4958;Portuguese;Christianity;South America;75;
Parintintin;Brazil;BR;425;-7.9539;-62.0553;Tenharim;Ethnoreligion;South America;75;
Tuyuka;Brazil;BR;1100;0.31859;-69.983278;Tuyuca;Christianity;South America;0;
Miranha;Brazil;BR;850;-3.00840564874;-65.2059120175;Portuguese;Ethnoreligion;South America;75;
Waiapi;Brazil;BR;1000;1.177;-52.9193;Wayampi;Ethnoreligion;South America;75;
Tukano;Brazil;BR;4100;0.52993;-69.20065;Tucano;Ethnoreligion;South America;10;
Amundava;Brazil;BR;125;-8.5902;-61.1613;Amundava;Ethnoreligion;South America;0;
Piratapuyo;Brazil;BR;1400;-0.262;-67.1;Piratapuyo;Ethnoreligion;South America;0;
Xavante;Brazil;BR;15500;-14.3292558348;-51.9743250872;Xavánte;Christianity;South America;75;
Makurap;Brazil;BR;475;-12.55;-62.753;Portuguese;Ethnoreligion;South America;75;
Yanomami-Ninam;Brazil;BR;600;3.61595;-62.50232;Ninam;Ethnoreligion;South America;75;
Bororo;Brazil;BR;2400;-16.833333;-56.133333;Borôro;Ethnoreligion;South America;0;
Bakairi;Brazil;BR;1000;-14.25;-54.583333;Bakairí;Ethnoreligion;South America;75;
Tembe;Brazil;BR;1500;-2.686751;-48.277296;Tembé;Christianity;South America;75;
Kamba;Brazil;BR;2100;-18.8124;-57.5966;Spanish;Ethnoreligion;South America;0;
Macushi;Venezuela;VE;80;4.734;-61.03331;Macushi;Ethnoreligion;South America;75;
Chachi;Ecuador;EC;9400;0.9497;-79.0253;Chachi;Ethnoreligion;South America;0;
Nanti;Peru;PE;550;-11.8709;-72.4241;Nanti;Ethnoreligion;South America;10;
Trinitario;Bolivia;BL;6400;-14.996;-65.635;Trinitario;Christianity;South America;75;
Guayabero;Colombia;CO;3200;2.80937;-72.16236;Guayabero;Ethnoreligion;South America;10;
Chipaya;Bolivia;BL;3600;-19.0411308541;-68.0903750956;Chipaya;Ethnoreligion;South America;75;
Ignaciano;Bolivia;BL;21000;-15.001;-65.636;Ignaciano;Christianity;South America;75;
Macushi;Guyana;GY;9700;3.797754;-59.412659;Macushi;Ethnoreligion;South America;75;
Shuar;Ecuador;EC;69000;-3.011546;-78.482747;Shuar;Ethnoreligion;South America;10;
Bora;Peru;PE;750;-3.3276;-71.9117;Spanish;Ethnoreligion;South America;75;
Ese Ejja;Bolivia;BL;850;-10.89674;-66.03656;Ese Ejja;Ethnoreligion;South America;75;
Guadeloupeans;Guadeloupe;GP;387000;16.251119;-61.52437;Guadeloupean French Creole;Christianity;Caribbean;75;
Albanians;Albania;AL;2590000;39.838469;20.168576;Albanian, Gheg;Islam;Southern Europe;10;
Nyahkur;Thailand;TH;1500;15.89091;101.51465;Nyahkur;Buddhism;South-Eastern Asia;0;
Kui;Thailand;TH;377000;14.70164;103.77955;Kuay;Buddhism;South-Eastern Asia;0;
Gelao;Vietnam;VM;2100;23.01962;105.07021;Vietnamese;Ethnoreligion;South-Eastern Asia;75;
Maori;New Zealand;NZ;727000;-38.28814;176.54055;Maori;Christianity;Australia and New Zealand;75;
Sanda;China;CH;1700;22.2199;100.1624;Undetermined;Ethnoreligion;Eastern Asia;0;
Sichuan Mongols;China;CH;29500;27.680674;100.846141;Mongolian, Peripheral;Buddhism;Eastern Asia;0;
A Che;China;CH;43000;24.642348;101.992009;Ache;Ethnoreligion;Eastern Asia;10;
Pitcairn Islanders;Pitcairn Islands;PC;45;-25.0659;-130.101;Pitcairn-Norfolk;Christianity;Polynesia;0;
Karuk;United States;US;2300;41.82283;-123.31534;English;Christianity;Northern America;75;
Unami Delaware;United States;US;9100;35.02644;-98.32013;English;Christianity;Northern America;75;
Chinuk Wawa;United States;US;650;45.06;-123.6096;English;Christianity;Northern America;75;
Tanana;United States;US;475;64.551808;-149.093645;English;Christianity;Northern America;10;
K’ómoks (Comox);Canada;CA;350;49.6793;-124.9543;English;Christianity;Northern America;75;
Tlingit;United States;US;18000;59.0553;-135.65361;English;Christianity;Northern America;75;
Shawnee;United States;US;3100;35.35397;-96.76345;English;Christianity;Northern America;75;
Haisla;Canada;CA;2100;54.0132;-132.145;English;Christianity;Northern America;75;
Halkomelem;Canada;CA;21000;49.1139;-121.9553;English;Christianity;Northern America;75;
Jicarilla Apache;United States;US;3000;36.8079;-107.00694;English;Christianity;Northern America;75;
Cahuilla;United States;US;850;33.8262357087;-116.536443053;English;Christianity;Northern America;75;
Wichita;United States;US;1600;35.06648;-98.18314;English;Ethnoreligion;Northern America;75;
Tagish;Canada;CA;750;60.1739549617;-134.708210305;English;Christianity;Northern America;75;
Northwest Alaskan Inupiat;United States;US;6500;64.77955;-161.80666;English;Christianity;Northern America;10;
Inuit Creole;United States;US;3400;61.203878;-149.874026;English;Christianity;Northern America;10;
St. Lawrence Island Yupik;United States;US;1600;63.43083;-170.27166;Yupik, Saint Lawrence Island;Christianity;Northern America;10;
Abenaki;Canada;CA;3900;46.0791;-72.8134;French;Christianity;Northern America;75;
Mohawk;United States;US;2200;44.96398;-74.53613;Mohawk;Christianity;Northern America;75;
Western Apache;United States;US;17000;33.85743;-110.12264;Apache, Western;Christianity;Northern America;75;
Afro-Grenadians;Canada;CA;19000;43.65792;-79.324609;Grenadian English Creole;Christianity;Northern America;75;
Afro-Guyanese;Canada;CA;90000;43.653226;-79.383184;Guyanese English Creole;Christianity;Northern America;75;
Mopan Maya;Canada;CA;3200;43.689705;-79.4125;Maya, Mopán;Christianity;Northern America;75;
Nisqually;United States;US;650;47.029;-122.688;English;Ethnoreligion;Northern America;75;
Northern Tlapanec;United States;US;18500;38.982366;-95.248048;Me’phaa, Acatepec;Christianity;Northern America;10;
Sape;Venezuela;VE;15;4.9447;-63.23631;Pemon;Ethnoreligion;South America;0;
Nawa;Brazil;BR;425;-7.45552361364;-73.379853513;Portuguese;Ethnoreligion;South America;0;
Kaimbulawa;Indonesia;ID;2500;-5.666;122.542;Kaimbulawa;Islam;South-Eastern Asia;10;
Naruvotu;Brazil;BR;90;-12.92478;-52.80579;Kuikúro-Kalapálo;Ethnoreligion;South America;0;
Tenharim;Brazil;BR;700;-8.033333;-61.916667;Tenharim;Ethnoreligion;South America;75;
Chichimeca-Jonaz;Mexico;MX;6300;21.290556;-100.488611;Spanish;Christianity;Central America;10;
Arutani;Venezuela;VE;20;4.77318;-63.15088;Ninam;Ethnoreligion;South America;10;
Salvadorans;El Salvador;ES;6100000;13.72216;-89.28055;Spanish;Christianity;Central America;75;
Qinghai Mongols;China;CH;43000;34.7323;101.6086;Tibetan, Amdo;Buddhism;Eastern Asia;0;
Mairiri;Indonesia;ID;550;-6.15619;134.87268;Mariri;Islam;South-Eastern Asia;0;
Meyah;Indonesia;ID;25000;-0.8782;133.8124;Meyah;Christianity;South-Eastern Asia;75;
Serbs;Kosovo;KV;76000;42.889536;20.866931;Serbian;Christianity;Southern Europe;10;
Yamana;Chile;CI;2200;-54.930646;-67.617025;Spanish;Christianity;South America;75;
Chuj;Guatemala;GT;100000;15.736949;-91.562483;Chuj;Christianity;Central America;75;
Cabécar;Costa Rica;CS;14500;9.67031;-83.41016;Cabécar;Ethnoreligion;Central America;75;
Huaulu;Indonesia;ID;475;-2.938;129.188;Huaulu;Ethnoreligion;South-Eastern Asia;75;
Ghorbati;Iraq;IZ;45000;31.9806404754;44.9196313447;Domari;Islam;Western Asia;0;
Nadeb;Brazil;BR;600;-1.266667;-66.183333;Nadëb;Ethnoreligion;South America;75;
Puroik;India;IN;4300;27.68005;93.134056;Adi;Ethnoreligion;Southern Asia;75;
Jogies;Afghanistan;AF;22000;34.4335;70.4371;Dari;Islam;Southern Asia;0;
Jofra Imazighen;Libya;LY;30000;27.8118;16.3859;Arabic, Libyan;Islam;Northern Africa;0;
Yahupdeh;Brazil;BR;1100;-0.291890645941;-68.9217384234;Yuhup;Ethnoreligion;South America;75;
Chung;Cambodia;CB;450;10.87391;103.83516;Khmer;Ethnoreligion;South-Eastern Asia;10;
Hupdah;Brazil;BR;1800;-1.8801;-66.9965;Hupdë;Ethnoreligion;South America;10;
Mara Chin;India;IN;34000;23.714169;92.865249;Mara;Christianity;Southern Asia;75;
North Alaskan Inupiak;United States;US;10000;70.78648;-153.91532;English;Christianity;Northern America;75;
Guajibo;Colombia;CO;26500;4.4463;-69.7951;Guahibo;Ethnoreligion;South America;75;
Elseng;Indonesia;ID;325;-3.00176;140.41769;Elseng;Christianity;South-Eastern Asia;75;
Aborlan Tagbanwa;Philippines;RP;22500;9.4617;118.5545;Tagbanwa;Ethnoreligion;South-Eastern Asia;75;
Afrikaners;Zambia;ZA;85000;-15.3652;28.3146;Afrikaans;Christianity;Eastern Africa;0;
Nkonya;Ghana;GH;27000;7.20316;0.3209;Nkonya;Ethnoreligion;Western Africa;75;
Anum-Boso;Ghana;GH;83000;6.52106;0.16932;Gua;Christianity;Western Africa;75;
Sefwi;Ghana;GH;400000;6.3172;-2.73146;Esahie;Christianity;Western Africa;75;
Tafi;Ghana;GH;5700;6.79522;0.39875;Tafi;Ethnoreligion;Western Africa;75;
Ga;Ghana;GH;720000;5.65488;-0.18598;Ga;Ethnoreligion;Western Africa;75;
Ahanta;Ghana;GH;229000;4.85147;-1.94657;Ahanta;Ethnoreligion;Western Africa;75;
Buem;Ghana;GH;80500;7.34549;0.50746;Lelemi;Ethnoreligion;Western Africa;75;
Bowili;Ghana;GH;19000;7.3;0.465;Tuwuli;Islam;Western Africa;75;
Akpafu;Ghana;GH;97500;7.2351;0.4751;Siwu;Christianity;Western Africa;75;
Chakosi;Ghana;GH;120000;10.16161;0.28594;Anufo;Islam;Western Africa;75;
Nawuri;Ghana;GH;17500;8.45116;0.04947;Nawuri;Islam;Western Africa;75;
Brong;Ghana;GH;1745000;7.65599;-1.97397;Abron;Christianity;Western Africa;75;
Larteh;Ghana;GH;122000;5.9367;-0.07822;Larteh;Ethnoreligion;Western Africa;75;
Achode;Ghana;GH;17500;8.39478;0.56975;Gikyode;Ethnoreligion;Western Africa;10;
Vagala;Ghana;GH;18000;9.3556;-2.3754;Vagla;Ethnoreligion;Western Africa;75;
Kamara;Ghana;GH;5900;9.219;-1.857;Kamara;Islam;Western Africa;75;
Gurenne;Ghana;GH;988000;10.791919;-0.855674;Farefare;Ethnoreligion;Western Africa;10;
Kabiye;Ghana;GH;51500;10.9637;-0.0869;Kabiyè;Ethnoreligion;Western Africa;75;
Kantosi;Ghana;GH;3500;10.7383;-1.2802;Kantosi;Islam;Western Africa;10;
Ligbi;Ghana;GH;23000;7.91388;-2.38513;Ligbi;Islam;Western Africa;10;
Bisa;Ghana;GH;273000;11.12588;-0.21669;Bisa;Ethnoreligion;Western Africa;10;
Ijo;Ghana;GH;52000;5.5727;-0.1649;Kalabari;Christianity;Western Africa;75;
Dogon;Mali;ML;106000;14.40749;-3.10006;Dogon, Toro So;Islam;Western Africa;75;
Jotoni Samogho;Mali;ML;22500;10.76912;-5.47873;Jowulu;Islam;Western Africa;10;
Fula Masina;Mali;ML;1585000;14.91803;-4.10264;Fulfulde, Maasina;Islam;Western Africa;10;
Khasonke;Mali;ML;1120000;14.18052;-10.66986;Xaasongaxango;Islam;Western Africa;10;
Jahanke;Guinea;GV;51000;10.80654;-14.40663;Jahanka;Islam;Western Africa;10;
Abanyom;Nigeria;NI;36500;6.30619;8.63055;Abanyom;Christianity;Western Africa;75;
Abua;Nigeria;NI;57000;4.83057;6.61492;Abua;Christianity;Western Africa;75;
Kanembu;Niger;NG;38000;14.251797;13.111439;Kanembu;Islam;Western Africa;10;
Dzodinka;Nigeria;NI;5400;7.07619;10.63112;Lidzonka;Ethnoreligion;Western Africa;10;
Yoruba;Niger;NG;87500;13.491;2.1386;Yoruba;Islam;Western Africa;75;
Ngumbi;Equatorial Guinea;EK;20500;1.72096;9.73613;Kombe;Christianity;Middle Africa;10;
Sango;Congo, Democratic Republic of the;CG;2100;5.06698;19.8288;Sango;Christianity;Middle Africa;0;
Mbanza;Congo;CF;18500;3.4371;18.5957;Mbandja;Christianity;Middle Africa;0;
Kotokoli;Benin;BN;29000;6.378;2.3821;Tem;Islam;Western Africa;0;
Fula Jalon;Mali;ML;126000;12.23664;-11.06835;Pular;Islam;Western Africa;0;
Gosha;Somalia;SO;68500;0.503296;42.770619;Maay;Islam;Eastern Africa;0;
Bolgo Dugag;Chad;CD;5700;10.9063;18.1064;Bolgo;Islam;Middle Africa;0;
Banda;South Sudan;OD;24500;7.6378;27.7206;Banda, West Central;Christianity;Northern Africa;0;
Jahanke;Guinea-Bissau;PU;12000;12.288018;-14.23778;Jahanka;Islam;Western Africa;0;
Jotoni Samogho;Burkina Faso;UV;3200;10.696379;-5.395844;Jowulu;Ethnoreligion;Western Africa;0;
Toposa;Uganda;UG;59500;3.891;34.048;Toposa;Christianity;Eastern Africa;0;
Mbanja;Congo, Democratic Republic of the;CG;724000;4.51093;20.31083;Mbandja;Christianity;Middle Africa;0;
Maswanka;Guinea-Bissau;PU;22500;12.106;-15.321;Mansoanka;Ethnoreligion;Western Africa;0;
Syenara Senufo;Mali;ML;340000;10.555;-5.764;Sénoufo, Syenara;Ethnoreligion;Western Africa;0;
Taabwa;Congo, Democratic Republic of the;CG;1270000;-7.1746;29.7574;Taabwa;Christianity;Middle Africa;0;
Ngbaka;Congo;CF;7500;2.5184;18.19371;Ngbaka;Christianity;Middle Africa;0;
Dhimba;Angola;AO;29000;-16.5122;13.9213;Dhimba;Ethnoreligion;Middle Africa;0;
Ngbaka;Congo, Democratic Republic of the;CG;2150000;3.2485;19.7781;Ngbaka;Christianity;Middle Africa;0;
Susu;Senegal;SG;57000;12.570539;-16.276215;Susu;Islam;Western Africa;0;
Kabiye;Benin;BN;20000;9.7972;1.5088;Kabiyè;Islam;Western Africa;0;
Vidunda;Tanzania;TZ;94000;-7.52674;36.93162;Vidunda;Christianity;Eastern Africa;0;
Nubi;Uganda;UG;42500;3.0287;30.9066;Nubi;Islam;Eastern Africa;0;
Chikunda;Zimbabwe;ZI;189000;-16.67361;30.6788;Kunda;Ethnoreligion;Eastern Africa;0;
Dagomba;Ghana;GH;1500000;9.64745;-0.43227;Dagbani;Islam;Western Africa;10;
Acholi;Uganda;UG;2590000;3.17234;32.67602;Acholi;Christianity;Eastern Africa;0;
Kotokoli;Ghana;GH;96000;7.528689;0.471582;Tem;Islam;Western Africa;0;
Tharaka;Kenya;KE;248000;-0.13221;38.07303;Kitharaka;Ethnoreligion;Eastern Africa;0;
Supyire Senufo;Mali;ML;907000;11.63201;-5.87709;Sénoufo, Supyire;Islam;Western Africa;10;
Amba;Uganda;UG;63500;0.7964;30.1463;Amba (Uganda);Ethnoreligion;Eastern Africa;0;
Gwere;Uganda;UG;889000;1.11392;33.82265;Gwere;Christianity;Eastern Africa;0;
Dagaari;Ghana;GH;1210000;10.4226;-2.52265;Dagaare, Southern;Christianity;Western Africa;75;
Nzema;Ghana;GH;562000;5.19399;-2.61973;Nzema;Ethnoreligion;Western Africa;75;
Beezen;Cameroon;CM;900;6.81552;10.10905;Beezen;Christianity;Middle Africa;0;
Afade;Nigeria;NI;50500;12.05214;14.60874;Afade;Islam;Western Africa;10;
Sisala;Ghana;GH;45000;10.8565;-2.4046;Sisaala, Western;Ethnoreligion;Western Africa;10;
Yidinit;Ethiopia;ET;800;5.40416;36.1702;Kwegu;Ethnoreligion;Eastern Africa;0;
Wasi;Tanzania;TZ;63000;-4.64148;35.72313;Alagwa;Islam;Eastern Africa;0;
Sou;Laos;LA;3600;14.687;106.53974;Sou;Ethnoreligion;South-Eastern Asia;0;
Lahanan;Malaysia;MY;900;2.6684;113.974729;Lahanan;Ethnoreligion;South-Eastern Asia;0;
Zay;Ethiopia;ET;23500;7.9115;38.9113;Zay;Christianity;Eastern Africa;0;
Dorze;Ethiopia;ET;63500;6.25237;37.55537;Dorze;Christianity;Eastern Africa;0;
Jiiddu;Somalia;SO;52000;1.84353;44.12938;Jiiddu;Islam;Eastern Africa;0;
Nara;Eritrea;ER;73500;14.75;36.727;Nara;Islam;Eastern Africa;0;
Lozi;Angola;AO;11500;-15.1359;21.9731;Lozi;Ethnoreligion;Middle Africa;10;
Mursi;Ethiopia;ET;12000;5.69801;36.09715;Mursi;Ethnoreligion;Eastern Africa;10;
Kintaq;Malaysia;MY;350;5.61042;101.1587;Kintaq;Ethnoreligion;South-Eastern Asia;10;
Hima;Rwanda;RW;16000;-1.1073;30.3911;Nyankore;Christianity;Eastern Africa;10;
Chewong;Malaysia;MY;750;3.83331;102.08116;Cheq Wong;Ethnoreligion;South-Eastern Asia;10;
Lanoh;Malaysia;MY;350;4.774602;100.927677;Lanoh;Ethnoreligion;South-Eastern Asia;75;
Lozi;Zimbabwe;ZI;184000;-17.9351;25.8375;Lozi;Ethnoreligion;Eastern Africa;10;
Mashi;Namibia;WA;300;-17.72755;23.28864;Mashi (Zambia);Ethnoreligion;Southern Africa;10;
Bobe;Cameroon;CM;2300;4.02178;9.22304;Bubia;Christianity;Middle Africa;75;
Caka;Cameroon;CM;15500;6.3204;9.7293;Caka;Christianity;Middle Africa;10;
Atong;Cameroon;CM;8400;6.03539;9.72121;Atong (Cameroon);Christianity;Middle Africa;10;
Balo;Cameroon;CM;4500;6.12552;9.69365;Balo;Christianity;Middle Africa;75;
Abo;Cameroon;CM;23500;4.3702;9.6403;Bankon;Christianity;Middle Africa;75;
Bango;Cameroon;CM;9100;4.3464;11.0533;Nubaca;Christianity;Middle Africa;75;
Busam;Cameroon;CM;3000;5.871;9.7217;Busam;Christianity;Middle Africa;75;
Bu;Cameroon;CM;2100;6.555;10.269;Mundabli;Islam;Middle Africa;75;
Kanowit;Malaysia;MY;425;2.07952;112.20466;Melanau, Kanowit-Tanjong;Ethnoreligion;South-Eastern Asia;75;
Bateq;Malaysia;MY;1800;4.8223;102.38206;Batek;Ethnoreligion;South-Eastern Asia;75;
Kalabakan Murut;Malaysia;MY;3400;4.53605;117.31699;Murut, Kalabakan;Islam;South-Eastern Asia;75;
Kwijau Dusun;Malaysia;MY;12000;5.471716;116.270836;Kuijau;Ethnoreligion;South-Eastern Asia;75;
Temuan;Malaysia;MY;22500;3.463058;101.645208;Temuan;Ethnoreligion;South-Eastern Asia;75;
Serudung Murut;Malaysia;MY;2000;4.39954;117.27931;Murut, Serudung;Ethnoreligion;South-Eastern Asia;75;
Dumpas;Malaysia;MY;1700;5.962838;117.346721;Dumpas;Ethnoreligion;South-Eastern Asia;75;
Klias River Kadazan;Malaysia;MY;2400;5.4212;115.66206;Kadazan, Klias River;Ethnoreligion;South-Eastern Asia;75;
Bukar Sadong;Malaysia;MY;72000;1.09001;110.59429;Bidayuh Serian;Ethnoreligion;South-Eastern Asia;75;
Bari Kakwa;South Sudan;OD;111000;4.0929;30.6808;Kakwa;Christianity;Northern Africa;10;
Amasi;Cameroon;CM;10500;6.0213;9.59489;Manta;Christianity;Middle Africa;75;
Bonjo;Congo;CF;6200;2.39823;17.62984;Bonjo;Christianity;Middle Africa;10;
Taabwa;Zambia;ZA;138000;-8.89877;29.95417;Taabwa;Ethnoreligion;Eastern Africa;0;
Swazi;South Africa;SF;1485000;-25.7651;31.0324;Swati;Christianity;Southern Africa;75;
Mbugu;Tanzania;TZ;90500;-4.72863;38.35191;Mbugu;Christianity;Eastern Africa;10;
Basketo;Ethiopia;ET;126000;6.2957;36.6128;Basketo;Christianity;Eastern Africa;75;
Bench;Ethiopia;ET;569000;7.04682;35.7673;Bench;Christianity;Eastern Africa;10;
Langi;Uganda;UG;3345000;2.13867;33.05527;Lango (Uganda);Christianity;Eastern Africa;10;
Ndamba;Tanzania;TZ;316000;-8.5123;35.9293;Ndamba;Christianity;Eastern Africa;10;
Luhya;Uganda;UG;161000;0.41032;34.01753;Saamya-Gwe;Christianity;Eastern Africa;75;
