UPG;Country;CC;PopulationTotal;Latitude;Longitude;PrimaryLanguage;Religion;Continent;PChrn
Kakmara;India;IN;900;22.430889;87.321492;Telugu;Hinduism;Asia;0
Kuluvan;India;IN;750;8.930803;77.641408;Telugu;Hinduism;Asia;0
Gangawar;India;IN;464000;10.41189;77.526983;Telugu;Hinduism;Asia;0
Surel;Nepal;NP;350;27.98;85.93;Nepali;Hinduism;Asia;0
Ayri;India;IN;225;12.433361;75.742564;Kodava;Hinduism;Asia;0
Nar;India;IN;225;31.79018;77.38517;Pahari-Potwari;Hinduism;Asia;0
Dhamin;India;IN;500;25.8869;87.1966;Maithili;Hinduism;Asia;0
Malaneese;India;IN;2100;32.2399;77.1883;Kanashi;Hinduism;Asia;0
Hindu Santarash;India;IN;4600;26.402724;86.223411;Maithili;Hinduism;Asia;0
Gagra;India;IN;700;30.805241;75.83633;Punjabi, Eastern;Hinduism;Asia;0
Racband;India;IN;3600;31.8099;75.6585;Punjabi, Eastern;Hinduism;Asia;0
Isconahua;Peru;PE;80;-7.9299;-74.5528;Shipibo-Conibo;Ethnoreligion;Americas;0
Lassi;Pakistan;PK;24500;25.327647;66.916544;Lasi;Islam;Asia;0
Churaute;Nepal;NP;8400;26.66;86.89;Nepali;Islam;Asia;0
Xocó;Brazil;BR;450;-9.76331;-37.462983;Portuguese;Christianity;Americas;0
Yidgha;Pakistan;PK;9600;35.988832;71.533912;Yadgha;Islam;Asia;0
Meda;India;IN;53500;12.4206;75.74153;Kodava;Hinduism;Asia;0
Dhimal;India;IN;5400;27.036007;88.262675;Dhimal;Hinduism;Asia;0
Lakha;Bhutan;BT;12500;27.625384;90.293127;Lakha;Buddhism;Asia;0
Nupbi;Bhutan;BT;3000;27.393;90.535;Nupbikha;Buddhism;Asia;0
Lunape;Bhutan;BT;850;28.063;90.172;Lunanakha;Buddhism;Asia;0
Gongduk;Bhutan;BT;2800;27.088;91.187;Gongduk;Buddhism;Asia;0
Phunoi;Laos;LA;48000;21.66473;102.15764;Phunoi;Ethnoreligion;Asia;0
Rachavar;India;IN;45500;12.29581;76.63938;Telugu;Hinduism;Asia;0
Nandiwala;India;IN;9700;19.418606;74.421889;Telugu;Hinduism;Asia;0
Tikulhara;India;IN;2100;25.58841;85.14555;Maithili;Hinduism;Asia;0
Gowro;Pakistan;PK;375;35.050774;73.120991;Gowro;Islam;Asia;0
Thami;China;CH;600;28.151812;85.975883;Thangmi;Ethnoreligion;Asia;0
Laki;Iran;IR;1300000;34.01025;47.93976;Laki;Islam;Asia;0
Chidmar;Nepal;NP;21000;28.056097;81.628032;Nepali;Hinduism;Asia;0
Gangai;Nepal;NP;53500;26.444882;87.440653;Nepali;Hinduism;Asia;0
Kurtop;Bhutan;BT;19000;27.714568;91.153344;Kurtokha;Buddhism;Asia;0
Bangingi Sama;Malaysia;MY;90000;6.6466;117.416;Sama, Balangingih;Islam;Asia;0
Golden Palaung;Myanmar;BM;215000;22.99767;96.93945;Palaung, Shwe;Buddhism;Asia;0
Bhediyar;Nepal;NP;30500;26.970775;85.324201;Nepali;Hinduism;Asia;0
Asheninca Perene;Peru;PE;5500;-10.902;-74.912;Ashéninka, Perené;Ethnoreligion;Americas;0
Dura;Nepal;NP;8800;28.160385;84.308562;Nepali;Buddhism;Asia;0
Kaike;Nepal;NP;2400;28.8707;83.1455;Kaike;Ethnoreligion;Asia;0
Saho;Eritrea;ER;169000;15.094;39.905;Saho;Islam;Africa;0
Badi;India;IN;16000;29.948;77.544;Hindi;Hinduism;Asia;0
Katu Adek;Laos;LA;500;15.78874;107.047871;Katu, Western;Ethnoreligion;Asia;0
Katu Dak Kang;Laos;LA;2000;15.407681;107.03389;Katu, Western;Ethnoreligion;Asia;0
Khatavueng;Laos;LA;1000;18.21702;104.9771;Lao;Ethnoreligion;Asia;0
Phongku;Laos;LA;1800;21.430669;102.20432;Phunoi;Buddhism;Asia;0
Phuthai Angkham;Laos;LA;1700;16.918645;106.073118;Phu Thai;Buddhism;Asia;0
Phutai Kata;Laos;LA;1300;17.5976;105.18861;Phu Thai;Ethnoreligion;Asia;0
Pong Poong;Laos;LA;1100;20.012748;103.865063;Phong-Kniang;Buddhism;Asia;0
Pong Seng;Laos;LA;1000;20.21612;104.001426;Phong-Kniang;Buddhism;Asia;0
Thai Ae;Laos;LA;900;18.26699;104.671142;Tai Yo;Ethnoreligion;Asia;0
Sahrawi;Western Sahara;WI;270000;26.1560452625;-10.6008090189;Hassaniyya;Islam;Africa;0
Qizilbash;Afghanistan;AF;30500;32.364777;62.09403;Dari;Islam;Asia;0
Kamviri Nuristani;Afghanistan;AF;27500;35.40963;71.32342;Komviri;Islam;Asia;0
Usta;India;IN;2500;28.016667;73.311944;Urdu;Islam;Asia;0
Chungar;India;IN;8000;28.01989;73.317553;Urdu;Islam;Asia;0
Galwan;India;IN;1300;34.06237;74.373223;Kashmiri;Islam;Asia;0
Panniandi;India;IN;24000;10.87353;76.976854;Telugu;Hinduism;Asia;0
Mujavar;India;IN;700;23.6884613355;69.2059314185;Kacchi;Islam;Asia;0
Punjabi Sikhs;Hong Kong;HK;7200;22.2750550428;114.176953508;Punjabi, Western;Sikhism;Asia;0
Mir;India;IN;48500;22.307161;73.181213;Gujarati;Islam;Asia;0
Modaks;India;IN;163000;24.267698;87.248663;Bengali;Hinduism;Asia;0
Pahari Nagarkotis;Nepal;NP;1500;27.7;85.333333;Pahari;Hinduism;Asia;0
Kokaniz;India;IN;15000;19.18972;72.972546;Urdu;Islam;Asia;0
Punjabi Sikhs;Bangladesh;BG;80;23.709921;90.407143;Punjabi, Eastern;Sikhism;Asia;0
Shina;India;IN;37000;34.627874;74.804849;Shina;Islam;Asia;0
Latin American Nikkei;Japan;JA;61500;35.650325;139.659766;Spanish;Ethnoreligion;Asia;0
Punjabis;Nepal;NP;16500;26.601554;87.102456;Punjabi, Eastern;Hinduism;Asia;0
Bengali;Sri Lanka;CE;25500;6.940434;79.85901;Bengali;Islam;Asia;0
Gujaratis;Bangladesh;BG;375;23.709921;90.407143;Gujarati;Hinduism;Asia;0
Kuwaiti Arabs;United States;US;26500;34.746481;-92.289595;Arabic, Gulf;Islam;Americas;0
Kuwaiti Arabs;Canada;CA;2400;45.383547;-75.654498;Arabic, Gulf;Islam;Americas;0
Kashmiris;Canada;CA;3500;43.6532;-79.3831;Kashmiri;Islam;Americas;0
Khalka Mongols;Kyrgyzstan;KG;125;42.903153;74.604585;Mongolian, Halh;Unaffiliated;Asia;0
Jains (Bengali);India;IN;130000;22.884884;88.078183;Bengali;Other;Asia;0
Khalka Mongols;Germany;GM;5000;52.529354;13.446077;Mongolian, Halh;Buddhism;Europe;0
Khalka Mongols;Taiwan;TW;7200;25.071195;121.537267;Mongolian, Halh;Ethnoreligion;Asia;0
Deaf Sahrawis;Western Sahara;WI;6100;27.1121692503;-13.1069819916;Natural Sign Language;Islam;Africa;0
Turks;Italy;IT;40000;45.4802270949;9.20215754791;Turkish;Islam;Europe;0
Gazan Arabs;Palestine;XP;2315000;31.347424;34.305955;South Levantine Arabic;Islam;Asia;0
Western Baloch;Iran;IR;3015000;28.85962;60.63237;Balochi, Western;Islam;Asia;0
Azerbaijani;Kazakhstan;KZ;95000;43.257683;76.85815;Azerbaijani, North;Islam;Asia;0
Middle-Eastern Turkoman;Jordan;JO;71500;32.569935;35.857712;Turkish;Islam;Asia;0
Chechens;Kazakhstan;KZ;42000;43.3545;76.943;Chechen;Islam;Asia;0
Turks;North Macedonia;MK;69500;41.68;22.42;Turkish;Islam;Europe;0
Persians;Kuwait;KU;50000;29.3422;47.9386;Persian, Iranian;Islam;Asia;0
Dalu;Bangladesh;BG;750;25.090269;90.195427;Darlong;Hinduism;Asia;0
Tara Baaka;South Sudan;OD;45500;4.871;29.479;Baka (South Sudan);Christianity;Africa;0
Pomak;Türkiye;TU;50000;37.7636;38.288;Turkish;Islam;Asia;0
Danau;Myanmar;BM;5600;20.6644568224;96.7136119897;Danau;Buddhism;Asia;0
Burmese;Macao;MC;7900;22.2041792359;113.546236553;Burmese;Buddhism;Asia;0
Deaf Hongkongers;Hong Kong;HK;7900;22.2781989367;114.169302655;Hong Kong Sign Language;Ethnoreligion;Asia;0
Deaf Macanese;Macao;MC;4800;22.2116;113.55129;Hong Kong Sign Language;Ethnoreligion;Asia;0
French;Saint Pierre and Miquelon;SB;5100;46.7816256319;-56.1757506448;French;Christianity;Americas;0
Moroccan Arabs;Western Sahara;WI;410000;27.1178117005;-13.1613526803;Arabic, Moroccan;Islam;Africa;0
Thai;Hong Kong;HK;13000;22.3345696206;114.18283291;Thai;Buddhism;Asia;0
Central Sama;Malaysia;MY;68500;5.048345;118.289326;Sama, Central;Islam;Asia;0
Kono;Guinea;GV;121000;7.7533;-8.8226;Kono (Guinea);Ethnoreligion;Africa;0
Gaaliin;Sudan;SU;4460000;14.391871;33.521462;Arabic, Sudanese;Islam;Africa;0
Logol;Sudan;SU;37000;10.98053;31.12359;Arabic, Sudanese;Islam;Africa;0
Deaf Israelis;Israel;IS;45000;31.766122;35.17728;Israeli Sign Language;Judaism;Asia;0
Deaf Slovakians;Slovakia;LO;54500;48.189831;17.146007;Slovakian Sign Language;Christianity;Europe;0
Tidikelt Imazighen;Algeria;AG;1300;27.01903;1.86218;Arabic, Algerian;Islam;Africa;0
Ghomara Imazighen;Morocco;MO;77500;35.013;-4.99;Arabic, Moroccan;Islam;Africa;0
Gourara Imazighen;Algeria;AG;13500;32.4872;3.6814;Taznatit;Islam;Africa;0
Akaselem;Togo;TO;82000;9.0329;1.4184;Akaselem;Islam;Africa;0
Deaf Swedes;Sweden;SW;40000;59.381272;17.913401;Swedish Sign Language;Ethnoreligion;Europe;0
Deaf Cambodians;Cambodia;CB;161000;11.550724;104.912376;Cambodian Sign Language;Ethnoreligion;Asia;0
Deaf Burmese;Myanmar;BM;526000;16.789555;96.193739;Myanmar Sign Language;Ethnoreligion;Asia;0
Deaf Bulgarians;Bulgaria;BU;65000;42.665816;23.363808;Bulgarian Sign Language;Ethnoreligion;Europe;0
Deaf Sri Lankans;Sri Lanka;CE;165000;6.930593;79.862046;Sri Lankan Sign Language;Ethnoreligion;Asia;0
Deaf Chileans;Chile;CI;177000;-33.050715;-71.414334;Chilean Sign Language;Christianity;Americas;0
Mandal;Sudan;SU;17000;10.6258;29.942;Arabic, Sudanese;Islam;Africa;0
Salao;Laos;LA;1300;14.980333;106.171854;Lao;Ethnoreligion;Asia;0
Kadung;Nigeria;NI;21000;9.3126;9.179;Kadung;Ethnoreligion;Africa;0
Tuat Imazighen;Algeria;AG;33500;27.878119;-0.282987;Taznatit;Islam;Africa;0
Jalo Imazighen;Libya;LY;45000;29.0246;21.5585;Hassaniyya;Islam;Africa;0
Menasser Imazighen;Algeria;AG;24000;36.5954;2.1869;Tamazight, Central Atlas;Islam;Africa;0
Figig  Imazighen;Algeria;AG;86000;32.0461;-1.2459;Tamazight, Central Atlas;Islam;Africa;0
Imazighen;Netherlands;NL;168000;52.345922;4.791064;Tamazight, Central Atlas;Islam;Europe;0
Riffi Imazighen;France;FR;137000;48.729309;2.593782;Tarifit;Islam;Europe;0
Hupdah;Colombia;CO;300;0.77;-69.6588;Hupdë;Ethnoreligion;Americas;0
Fumbira;Uganda;UG;969000;-1.278391;29.670444;Kinyarwanda;Christianity;Africa;0
Thai;Myanmar;BM;45000;16.7966;96.1705;Thai;Buddhism;Asia;0
Albanians;United Kingdom;UK;42000;51.57485;-0.386123;Albanian, Tosk;Islam;Europe;0
Armenians;Germany;GM;42000;53.572828;10.027204;Armenian;Christianity;Europe;0
Germans;New Zealand;NZ;19500;-36.911155;174.818146;German, Standard;Unaffiliated;Oceania;0
Albanians;Switzerland;SZ;115000;47.5475;7.6023;Albanian, Tosk;Islam;Europe;0
Deaf Tajikistanis;Tajikistan;TI;97500;38.602681;68.787261;Russian Sign Language;Islam;Asia;0
Deaf Puerto Ricans;Puerto Rico;RQ;27500;18.406389;-66.063889;Puerto Rican Sign Language;Christianity;Americas;0
Deaf Kazakhstanis;Kazakhstan;KZ;207000;43.295244;76.951375;Russian Sign Language;Islam;Asia;0
Deaf Kyrgyzstanis;Kyrgyzstan;KG;61000;42.8881;74.640214;Russian Sign Language;Islam;Asia;0
Deaf Irish;Ireland;EI;52000;53.363007;-6.295533;Irish Sign Language;Christianity;Europe;0
Tripuri Namasudra;India;IN;291000;23.5286;91.477;Bengali;Hinduism;Asia;0
Ashkenazi Jews;Moldova;MD;3800;47.030058;28.829157;Yiddish, Eastern;Judaism;Europe;0
Wali;Sudan;SU;2700;11.8478;29.3566;Wali (Sudan);Islam;Africa;0
Uzbeks;China;CH;12500;44.14145;90.29497;Uzbek, Northern;Islam;Asia;0
Bengali;Thailand;TH;35000;13.7704;100.62;Bengali;Islam;Asia;0
Lithuanians;United States;US;46500;41.670661;-87.980474;Lithuanian;Christianity;Americas;0
Syrian Arabs;Saudi Arabia;SA;810000;24.786119;46.787349;Arabic, Levantine;Islam;Asia;0
Deaf Gambians;Gambia;GA;26500;13.46315;-16.683296;Gambian Sign Language;Islam;Africa;0
Keiga;Sudan;SU;15500;11.203737;29.378901;Keiga;Islam;Africa;0
Urdu;Denmark;DA;26500;55.704391;12.488179;Urdu;Islam;Europe;0
Montenegrins;Canada;CA;4400;43.7466;-79.384;Serbian;Christianity;Americas;0
Kabixi-Txapakura;Brazil;BR;10;-15.025;-59.891;Portuguese;Ethnoreligion;Americas;0
Hausa;Ethiopia;ET;131000;9.04782;38.726784;Hausa;Islam;Africa;0
Ashanti;United Kingdom;UK;28000;51.563715;-0.138661;Akan;Christianity;Europe;0
Deaf Solomon Islanders;Solomon Islands;BP;7900;-9.438138;159.969584;Solomon Islands Sign Language;Ethnoreligion;Oceania;0
Deaf Azerbaijanis;Azerbaijan;AJ;102000;40.398808;49.812264;Turkish Sign Language;Islam;Asia;0
Deaf Svalbardians;Svalbard;SV;30;78.22;15.65;Norwegian Sign Language;Unknown;Europe;0
Deaf Timorese;Timor-Leste;TT;6800;-8.558882;125.578037;Indonesian Sign Language;Christianity;Asia;0
Deaf Lebanese;Lebanon;LE;51500;33.85234;35.515019;Jordanian Sign Language;Ethnoreligion;Asia;0
Deaf Panamanians;Panama;PM;42000;8.981318;-79.53461;Panamanian Sign Language;Christianity;Americas;0
Deaf Liberians;Liberia;LI;17000;6.29272;-10.768735;American Sign Language;Ethnoreligion;Africa;0
Deaf Moroccans;Morocco;MO;377000;32.13896;-7.69607;Moroccan Sign Language;Islam;Africa;0
Deaf Sudanese;Sudan;SU;448000;15.583886;32.526356;Natural Sign Language;Ethnoreligion;Africa;0
Deaf Micronesians;Micronesia;FM;1100;7.45;151.85;Natural Sign Language;Unknown;Oceania;0
Deaf Guadeloupeans;Guadeloupe;GP;4500;16.241;-61.533;French Sign Language;Unknown;Americas;0
Deaf Mahorais;Mayotte;MF;3300;-12.7806;45.2278;French Sign Language;Unknown;Africa;0
Deaf Samoans;American Samoa;AQ;450;-14.279;-170.7;American Sign Language;Unknown;Oceania;0
Deaf Marshallese;Marshall Islands;RM;600;7.0916;171.38139;Natural Sign Language;Unknown;Oceania;0
Deaf Dominicans;Dominica;DO;750;15.301;-61.388;American Sign Language;Unknown;Americas;0
Deaf Cook Islanders;Cook Islands;CW;100;-21.2069;-159.77;New Zealand Sign Language;Unknown;Oceania;0
Deaf Sammarinese;San Marino;SM;325;43.9346;12.4473;Italian Sign Language;Unknown;Europe;0
Deaf Arubans;Aruba;AA;1100;12.5186;-70.0358;Sign Language of the Netherlands;Unknown;Americas;0
Deaf Monacans;Monaco;MN;225;43.733;7.416;French Sign Language;Unknown;Europe;0
Deaf Congolese;Congo;CF;25500;-4.2232;15.276625;French Sign Language;Ethnoreligion;Africa;0
Deaf Guineans;Guinea;GV;27000;9.612112;-13.602898;Guinean Sign Language;Ethnoreligion;Africa;0
Deaf Belarusians;Belarus;BO;90500;53.884008;27.649338;Russian Sign Language;Ethnoreligion;Europe;0
Deaf Bosnians;Bosnia and Herzegovina;BK;31500;43.848317;18.333911;Slovenian Sign Language;Ethnoreligion;Europe;0
Deaf Curacaoan;Curacao;UC;1600;12.113036;-68.93838;Sign Language of the Netherlands;Ethnoreligion;Americas;0
Deaf Algerians;Algeria;AG;483000;36.717922;3.137075;Algerian Sign Language;Ethnoreligion;Africa;0
Deaf Syrians;Syria;SY;219000;33.516966;36.383768;Jordanian Sign Language;Ethnoreligion;Asia;0
Deaf Saint Lucians;Saint Lucia;ST;1600;14.018;-60.987;American Sign Language;Ethnoreligion;Americas;0
Deaf Mauritanians;Mauritania;MR;53500;18.124669;-15.976403;American Sign Language;Ethnoreligion;Africa;0
Deaf Chadians;Chad;CD;185000;12.120136;15.045397;Chadian Sign Language;Christianity;Africa;0
Deaf Kittitian;Saint Kitts and Nevis;SC;550;17.3;-62.7333;American Sign Language;Christianity;Americas;0
Deaf Montenegrins;Montenegro;MJ;3700;42.44237;19.268684;Croatian Sign Language;Christianity;Europe;0
Deaf Martinicans;Martinique;MB;3800;14.6;-61.066;French Sign Language;Christianity;Americas;0
Deaf Kosovar;Kosovo;KV;9800;42.672265;21.164624;Albanian Sign Language;Islam;Europe;0
Deaf Papua New Guineans;Papua New Guinea;PP;49500;-9.47137;147.197837;Papua New Guinean Sign Language;Ethnoreligion;Oceania;0
Deaf Niueans;Niue;NE;15;-19.054;-169.92;New Zealand Sign Language;Unaffiliated;Oceania;0
Deaf Manx;Isle of Man;IM;850;54.145;-4.482;British Sign Language;Christianity;Europe;0
Deaf Bissau-Guineans;Guinea-Bissau;PU;10500;11.865486;-15.623748;Guinea-Bissau Sign Language;Islam;Africa;0
Deaf Reunionese;Reunion;RE;4500;-20.881929;55.450632;French Sign Language;Christianity;Africa;0
Deaf Mauritians;Mauritius;MP;7600;-20.165179;57.496521;Mauritian Sign Language;Hinduism;Africa;0
Deaf Tuvaluans;Tuvalu;TV;100;-8.516;179.2;Natural Sign Language;Christianity;Oceania;0
Deaf Cocos Islanders;Cocos (Keeling) Islands;CK;5;-12.119;96.895;Auslan;Islam;Oceania;0
Deaf Antiguans;Antigua and Barbuda;AC;1000;17.116;-61.85;American Sign Language;Unknown;Americas;0
Deaf Turks and Caicos Islanders;Turks and Caicos Islands;TK;500;21.459;-71.139;American Sign Language;Unknown;Americas;0
Deaf Grenadians;Grenada;GJ;1100;12.05;-61.75;American Sign Language;Unknown;Americas;0
Deaf American Virgin Islanders;Virgin Islands;VQ;1100;18.35;-64.95;American Sign Language;Unknown;Americas;0
Deaf Anguillans;Anguilla;AV;175;18.22;-63.05;American Sign Language;Christianity;Americas;0
Deaf Vincentians;Saint Vincent and the Grenadines;VC;1100;13.157;-61.225;American Sign Language;Unknown;Americas;0
Deaf Bermudians;Bermuda;BD;650;32.2953388766;-64.7836934124;American Sign Language;Unknown;Americas;0
Deaf Equatoguineans;Equatorial Guinea;EK;4600;3.747565;8.788437;American Sign Language;Ethnoreligion;Africa;0
Deaf Barbadians;Barbados;BB;2900;13.08755;-59.599185;American Sign Language;Ethnoreligion;Americas;0
Deaf Palauans;Palau;PS;175;7.5;134.624;American Sign Language;Unknown;Oceania;0
Deaf Caymanians;Cayman Islands;CJ;650;19.3017;-81.3738;American Sign Language;Unknown;Americas;0
Deaf Bahamians;Bahamas;BF;4100;25.037566;-77.329685;American Sign Language;Ethnoreligion;Americas;0
Deaf Mariana;Northern Mariana Islands;CQ;500;15.183;145.75;American Sign Language;Unknown;Oceania;0
Deaf Nauruans;Nauru;NR;100;-0.5236;166.914;American Sign Language;Christianity;Oceania;0
Deaf Sint Maarteners;Sint Maarten;NN;475;18.0237;-63.0458;American Sign Language;Unknown;Americas;0
Deaf Chamorro;Guam;GQ;1700;13.4732;144.7535;American Sign Language;Unknown;Oceania;0
Deaf New Caledonians;New Caledonia;NC;2700;-22.2758;166.458;French Sign Language;Unknown;Oceania;0
Deaf Jersey Islanders;Jersey;JE;1100;49.1858;-2.11;British Sign Language;Unknown;Europe;0
Deaf French Polynesians;French Polynesia;FP;2800;-17.535;-149.5696;French Sign Language;Unknown;Oceania;0
Deaf Liechtensteiners;Liechtenstein;LS;400;47.141;9.521;German Sign Language;Unknown;Europe;0
Deaf Christmas Islanders;Christmas Island;KT;15;-10.426;105.672;Auslan;Unknown;Oceania;0
Deaf Saint Barth;Saint Barthelemy;TB;100;17.9005;-62.8502;French Sign Language;Unknown;Americas;0
Deaf Saint Helenians;Saint Helena, Ascension, and Tristan da Cunha;SH;50;-15.924;-5.718;British Sign Language;Unknown;Africa;0
Deaf Guernsey Islanders;Guernsey;GK;650;49.4555;-2.5368;British Sign Language;Unknown;Europe;0
Deaf Montserratians;Montserrat;MH;60;16.7927;-62.21;British Sign Language;Unknown;Americas;0
Deaf Tokelauans;Tokelau;TL;20;-8.557;-172.47;New Zealand Sign Language;Unknown;Oceania;0
Deaf Faroese;Faroe Islands;FO;500;62.0116;-6.7675;Danish Sign Language;Unknown;Europe;0
Deaf Wallisians;Wallis and Futuna;WF;125;-13.28;-176.18;French Sign Language;Unknown;Oceania;0
Deaf Tongans;Tonga;TN;1100;-21.133;-175.2;Natural Sign Language;Unknown;Oceania;0
Deaf Norfolk Islanders;Norfolk Island;NF;20;-29.0338;167.9544;Auslan;Unknown;Oceania;0
Deaf Gibraltarians;Gibraltar;GI;275;36.133;-5.35;British Sign Language;Unknown;Europe;0
Deaf British Virgin Islanders;British Virgin Islands;VI;375;18.431;-64.623;British Sign Language;Unknown;Americas;0
Deaf Guyanese;French Guiana;FG;2800;4.92286;-52.327093;French Sign Language;Ethnoreligion;Americas;0
Deaf Icelanders;Iceland;IC;1600;64.145103;-21.862932;Icelandic Sign Language;Ethnoreligion;Europe;0
Deaf Luxembourgers;Luxembourg;LU;2100;49.614394;6.107489;German Sign Language;Ethnoreligion;Europe;0
Deaf Seychellois;Seychelles;SE;1100;-4.6167;55.45;Seychelles Sign Language;Christianity;Africa;0
Deaf Greenlanders;Greenland;GL;325;64.175;-51.7389;Danish Sign Language;Christianity;Americas;0
Deaf Andorrans;Andorra;AN;800;42.5;1.5;French Sign Language;Christianity;Europe;0
Deaf Palestinian Arabs;Palestine;XP;57000;31.8104;35.2459;Egyptian Sign Language;Islam;Asia;0
Deaf Georgians;Georgia;GG;37000;41.696055;44.826407;Georgian Sign Language;Ethnoreligion;Asia;0
Deaf Maldivans;Maldives;MV;2300;4.172809;73.503947;Maldivian Sign Language;Ethnoreligion;Asia;0
Deaf Comorans;Comoros;CN;3500;-11.736196;43.230809;Comorian Sign Language;Ethnoreligion;Africa;0
Deaf Cabo Verdeans;Cabo Verde;CV;3000;14.913248;-23.520646;Cape Verdian Sign Language;Christianity;Africa;0
Deaf Beninese;Benin;BN;34500;6.519016;2.644998;Benin Sign Language;Ethnoreligion;Africa;0
Deaf Santomeans;Sao Tome and Principe;TP;2300;0.336;6.73;Sao Tome and Principe Sign Language;Unknown;Africa;0
Deaf Eritreans;Eritrea;ER;40000;15.3532;38.94556;Eritrean Sign Language;Ethnoreligion;Africa;0
Deaf Djiboutians;Djibouti;DJ;10000;11.561922;43.137174;Somali Sign Language;Ethnoreligion;Africa;0
Deaf Central Africans;Central African Republic;CT;23000;4.407723;18.544486;Francophone African Sign Language;Ethnoreligion;Africa;0
Deaf Gabonese;Gabon;GB;9400;0.37292;9.475531;Gabonese Sign Language;Ethnoreligion;Africa;0
Deaf Emiratis;United Arab Emirates;AE;97000;24.461549;54.360312;Emirati Sign Language;Ethnoreligion;Asia;0
Deaf Somalis;Somalia;SO;191000;2.045118;45.331873;Somali Sign Language;Ethnoreligion;Africa;0
Deaf Cameroonians;Cameroon;CM;147000;3.898053;11.528684;Cameroon Sign Language;Ethnoreligion;Africa;0
Deaf Yemenis;Yemen;YM;287000;15.343827;44.195614;Yemeni Sign Language;Ethnoreligion;Asia;0
Deaf Samoans;Samoa;WS;850;-13.838198;-171.786896;Samoan Sign Language;Ethnoreligion;Oceania;0
Deaf Iraqis;Iraq;IZ;445000;33.317339;44.489589;Iraqi Sign Language;Ethnoreligion;Asia;0
Deaf Bruneians;Brunei;BX;2100;4.936904;114.938592;Brunei Sign Language;Ethnoreligion;Asia;0
Deaf Bhutanese;Bhutan;BT;7800;27.445864;89.662557;Bhutanese Sign Language;Ethnoreligion;Asia;0
Deaf Angolans;Angola;AO;63500;-8.823472;13.268967;Angolan Sign Language;Ethnoreligion;Africa;0
Deaf South Sudanese;South Sudan;OD;63500;4.849471;31.600134;South Sudanese Sign Language;Christianity;Africa;0
Deaf Fijians;Fiji;FJ;3700;-18.10317;178.478358;Fiji Sign Language;Ethnoreligion;Oceania;0
Deaf Kuwaitis;Kuwait;KU;12000;29.313351;48.070326;Kuwaiti Sign Language;Ethnoreligion;Asia;0
Deaf Surinamers;Suriname;NS;6100;5.821159;-55.196037;Surinamese Sign Language;Ethnoreligion;Americas;0
Deaf Swazis;Eswatini;WZ;6100;-26.33092;31.152454;Swazi Sign Language;Ethnoreligion;Africa;0
Deaf Koreans;North Korea;KN;269000;39.063564;125.76268;North Korean Sign Language;Ethnoreligion;Asia;0
Deaf Cypriots;Cyprus;CY;3900;35.170163;33.333141;Cypriot Sign Language;Ethnoreligion;Asia;0
Deaf I-Kiribati;Kiribati;KR;1300;1.3569;172.9305;Kiribati Sign Language;Unknown;Oceania;0
Deaf Ni-Vanuatu;Vanuatu;NH;2000;-17.736479;168.336357;Vanuatu Sign Language;Ethnoreligion;Oceania;0
Deaf Bahrainis;Bahrain;BA;14500;26.229726;50.579795;Bahraini Sign Language;Ethnoreligion;Asia;0
Deaf Omanis;Oman;MU;46000;23.62081;58.508298;Omani Sign Language;Ethnoreligion;Asia;0
Deaf Qataris;Qatar;QA;23500;25.287746;51.512553;Qatari Unified Sign Language;Ethnoreligion;Asia;0
Deaf Guyanese;Guyana;GY;8200;6.804709;-58.154897;Guyanese Sign Language;Christianity;Americas;0
Javanese;Christmas Island;KT;50;-10.418353;105.67777;Javanese;Islam;Oceania;0
Circassians;Uzbekistan;UZ;1700;41.3068;69.1853;Kabardian;Islam;Asia;0
Kyrgyz;Canada;CA;1100;43.721473;-79.324609;Kyrgyz;Islam;Americas;0
Indo-Pakistani;Christmas Island;KT;60;-10.421818;105.679695;Tamil;Islam;Oceania;0
Karachay;United States;US;475;40.916384;-74.161432;Karachay-Balkar;Islam;Americas;0
Chechens;Uzbekistan;UZ;1900;42.494246;59.60537;Chechen;Islam;Asia;0
Somalis;Sudan;SU;2500;15.493053;32.578356;Somali;Islam;Africa;0
Somalis;Eritrea;ER;53000;15.3449;38.9425;Somali;Islam;Africa;0
Chechens;Kyrgyzstan;KG;1700;42.879034;74.555156;Chechen;Islam;Asia;0
Tajiks;Canada;CA;3100;43.6956337266;-79.4149760503;Tajik;Islam;Americas;0
Ashkenazi Jews;Azerbaijan;AJ;18000;40.38344;49.893226;Yiddish, Eastern;Judaism;Asia;0
Angolans;Canada;CA;3200;43.7805;-79.3738;Portuguese;Ethnoreligion;Americas;0
Ashkenazi Jews;Switzerland;SZ;18000;47.410528;8.54985;Yiddish, Eastern;Judaism;Europe;0
Cona Monba;China;CH;58500;27.894049;92.206914;Monpa, Tawang;Buddhism;Asia;0
Burundians;Belgium;BE;8700;50.857552;4.419622;French;Christianity;Europe;0
Ashkenazi Jews;Turkmenistan;TX;750;37.953345;58.418685;Yiddish, Eastern;Judaism;Asia;0
Thai;Cambodia;CB;47000;11.5569;104.8665;Thai;Buddhism;Asia;0
Mashhadi Jews;United States;US;5300;40.803556;-73.744662;English;Judaism;Americas;0
Ashkenazi Jews;Poland;PL;3200;52.164096;21.044632;Yiddish, Eastern;Judaism;Europe;0
Moors;Mali;ML;687000;15.381;-11.475;Hassaniyya;Islam;Africa;0
